DisNo.,Year,Month,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Total Deaths,Total Affected,Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",Location
2000-0010-IDN,2000,Januari,Technological,Transport,Road,Road,13,22,0,0,Jawa Tengah
2000-0011-IDN,2000,Januari,Technological,Transport,Road,Road,13,333,0,0,Jawa Tengah
2000-0082-IDN,2000,Februari,Natural,Hydrological,Mass movement (wet),Mudslide,34,84377,11600,19714,Jawa Tengah
2000-0101-IDN,2000,Maret,Technological,Transport,Road,Road,26,31,0,0,Jawa Tengah
2000-0108-IDN,2000,Januari,Natural,Biological,Epidemic,Viral disease,10,1516,0,0,Jakarta
2000-0117-IDN,2000,Februari,Natural,Climatological,Wildfire,Forest fire,585,511572,0,0,Riau
2000-0117-IDN,2000,Februari,Natural,Climatological,Wildfire,Forest fire,585,511572,0,0,Kalimantan Barat
2000-0117-IDN,2000,Februari,Natural,Climatological,Wildfire,Forest fire,585,511572,0,0,Kalimantan Tengah
2000-0230-IDN,2000,Mei,Natural,Geophysical,Earthquake,Ground movement,45,52770,30000,50985,Sulawesi Tengah
2000-0258-IDN,2000,Mei,Natural,Hydrological,Flood,Flash flood,126,50000,79000,134261,Nusa Tenggara Timur
2000-0268-IDN,2000,Mei,Technological,Transport,Water,Water,41,12005,0,0,Maluku
2000-0293-IDN,2000,Juni,Natural,Geophysical,Earthquake,Ground movement,103,204714,41000,69680,Bengkulu
2000-0320-IDN,2000,Mei,Natural,Biological,Epidemic,Viral disease,15,203,0,0,Nusa Tenggara Timur
2000-0405-IDN,2000,Juni,Technological,Transport,Rail,Rail,32,24750,0,0,Sumatera Barat
2000-0436-IDN,2000,Juli,Technological,Transport,Road,Road,10,3,0,0,Jawa Tengah
2000-0449-IDN,2000,Juli,Natural,Geophysical,Earthquake,Ground movement,25,4124,2000,3399,Jawa Barat
2000-0469-IDN,2000,Juni,Natural,Hydrological,Mass movement (wet),Landslide (wet),4,520,0,0,Sulawesi Tengah
2000-0635-IDN,2000,September,Technological,Miscellaneous accident,Explosion (Miscellaneous),Explosion (Miscellaneous),10,30,0,0,Jakarta
2000-0686-IDN,2000,September,Technological,Transport,Rail,Rail,16,66,0,0,Jawa Tengah
2000-0701-IDN,2000,Oktober,Natural,Hydrological,Mass movement (wet),Mudslide,40,56210,43000,73079,Jawa Tengah
2000-0721-IDN,2000,November,Natural,Hydrological,Mass movement (wet),Landslide (wet),52,19,0,0,Jawa Tengah
2000-0721-IDN,2000,November,Natural,Hydrological,Mass movement (wet),Landslide (wet),52,19,0,0,Bali
2000-0761-IDN,2000,Oktober,Natural,Geophysical,Earthquake,Ground movement,16,5500,0,0,Banten
2000-0762-IDN,2000,Juni,Natural,Geophysical,Earthquake,Ground movement,1,3000,0,0,Sumatera Selatan
2000-0770-IDN,2000,November,Natural,Hydrological,Flood,Riverine flood,100,386021,34000,57783,Sumatera Barat
2000-0770-IDN,2000,November,Natural,Hydrological,Flood,Riverine flood,100,386021,34000,57783,Sumatera Selatan
2000-0770-IDN,2000,November,Natural,Hydrological,Flood,Riverine flood,100,386021,34000,57783,Aceh
2000-0770-IDN,2000,November,Natural,Hydrological,Flood,Riverine flood,100,386021,34000,57783,Riau
2000-0770-IDN,2000,November,Natural,Hydrological,Flood,Riverine flood,100,386021,34000,57783,Jambi
2000-0791-IDN,2000,Desember,Natural,Hydrological,Flood,Flash flood,38,39852,0,0,Sulawesi Utara
2000-0791-IDN,2000,Desember,Natural,Hydrological,Flood,Flash flood,38,39852,0,0,Nusa Tenggara Barat
2000-0791-IDN,2000,Desember,Natural,Hydrological,Flood,Flash flood,38,39852,0,0,Yogyakarta
2000-0844-IDN,2000,Desember,Technological,Transport,Rail,Rail,11,12,0,0,Jawa Timur
2000-0889-IDN,2000,Juni,Technological,Transport,Water,Water,481,11,0,0,Nusa Tenggara Timur
2000-0926-IDN,2000,Maret,Technological,Transport,Road,Road,31,5,0,0,Bengkulu
2001-0041-IDN,2001,Februari,Natural,Hydrological,Mass movement (wet),Landslide (wet),122,23000,10000,16528,Banten
2001-0046-IDN,2001,Januari,Natural,Hydrological,Mass movement (wet),Landslide (wet),63,358167,0,0,Sulawesi Utara
2001-0046-IDN,2001,Januari,Natural,Hydrological,Mass movement (wet),Landslide (wet),63,358167,0,0,Nusa Tenggara Barat
2001-0046-IDN,2001,Januari,Natural,Hydrological,Mass movement (wet),Landslide (wet),63,358167,0,0,Yogyakarta
2001-0051-IDN,2001,Februari,Natural,Hydrological,Flood,Flash flood,130,80000,10000,16528,Jawa Barat
2001-0051-IDN,2001,Februari,Natural,Hydrological,Flood,Flash flood,130,80000,10000,16528,Jawa Timur
2001-0051-IDN,2001,Februari,Natural,Hydrological,Flood,Flash flood,130,80000,10000,16528,Jakarta
2001-0051-IDN,2001,Februari,Natural,Hydrological,Flood,Flash flood,130,80000,10000,16528,Banten
2001-0051-IDN,2001,Februari,Natural,Hydrological,Flood,Flash flood,130,80000,10000,16528,Gorontalo
2001-0171-IDN,2001,April,Technological,Transport,Water,Water,27,3612,0,0,Maluku
2001-0181-IDN,2001,Mei,Technological,Transport,Road,Road,16,85767,0,0,Jawa Barat
2001-0234-IDN,2001,Mei,Technological,Transport,Water,Water,47,15682,0,0,Sulawesi Tengah
2001-0407-IDN,2001,Juli,Natural,Hydrological,Flood,Riverine flood,257,3694,0,0,Sumatera Selatan
2001-0437-IDN,2001,Agustus,Technological,Transport,Road,Road,22,19,0,0,Jawa Tengah
